ELRC-843-collection_reports_G	v1	14622	17/11709	.14
ELRC-850-www.dst.dk	v1	22760	17/11709	.14
ELRC-904-uk.fm.dk	v1	6700	17/11709	.14
ELRC-923-chapters_Youth_2010	v1	5730	17/11709	.14
ELRC-Press_Releases	v1	6300	17/11709	.14
ELRA-W0135	v1	2323	16/11709	.13
ELRA-W0158	v1	40932	16/11709	.13
ELRA-W0241	v1	58524	16/11709	.13
ELRC-1058-University_Library_Z	v1	2323	16/11709	.13
ELRC-3206-antibiotic	v1	775	16/11709	.13
ELRC-399-International_Agreem	v1	40932	16/11709	.13
ELRC-www.norden.org	v1	73026	16/11709	.13
ELRA-W0174	v1	1565	15/11709	.12
ELRA-W0190	v1	55912	15/11709	.12
ELRC-1020-collection_about_Cyp	v1	1893	15/11709	.12
ELRC-1175-EUIPO_2017	v1	20173	15/11709	.12
ELRC-1177-EUIPO_2017	v1	20399	15/11709	.12
ELRC-1180-EUIPO_2017	v1	19862	15/11709	.12
ELRC-1981-EQF_Referencing_Repo	v1	2088	15/11709	.12
ELRC-2873-EU_publications_medi	v1	12936	15/11709	.12
ELRC-2879-EU_publications_medi	v1	13125	15/11709	.12
ELRC-2882-EU_publications_medi	v1	12944	15/11709	.12
ELRC-2887-EU_publications_medi	v1	12971	15/11709	.12
ELRC-411-Bank_Estonia	v1	16387	15/11709	.12
ELRC-472-Polish_Central_Stati	v1	1565	15/11709	.12
ELRC-489-Secretariat_General_	v1	55912	15/11709	.12
ELRC-530-nmh.no	v1	5028	15/11709	.12
ELRC-540-nofima.no	v1	8675	15/11709	.12
SETIMES	v2	242565	15/11709	.12
ELRA-W0176	v1	2024	14/11709	.11
ELRA-W0205	v1	1983	14/11709	.11
ELRA-W0233	v1	3426	14/11709	.11
ELRA-W0276	v1	4354	14/11709	.11
ELRA-W0279	v1	2649	14/11709	.11
ELRC-1176-EUIPO_2017	v1	19714	14/11709	.11
ELRC-1178-EUIPO_2017	v1	17582	14/11709	.11
ELRC-1814-EIR_SPOS	v1	3292	14/11709	.11
ELRC-1970-governmental_about_M	v1	1504	14/11709	.11
ELRC-2439-Ritis_Airgeadais_Oll	v1	741	14/11709	.11
ELRC-2498-Plan_Nacional_e	v1	1427	14/11709	.11
ELRC-2872-EU_publications_medi	v1	13025	14/11709	.11
ELRC-2881-EU_publications_medi	v1	13057	14/11709	.11
ELRC-2885-EU_publications_medi	v1	12742	14/11709	.11
ELRC-437-Bulgarian_strategic_	v1	2587	14/11709	.11
ELRC-474-Natolin_Centre	v1	2024	14/11709	.11
ELRC-5060-A_mix_annual	v1	7177	14/11709	.11
ELRC-652-Greek_law	v1	1983	14/11709	.11
ELRC-735-www.norden.org	v1	42816	14/11709	.11
ELRC-807-Malta_Government_Gaz	v1	3426	14/11709	.11
ELRC-816-ANR_containing_major	v1	10302	14/11709	.11
ELRC-949-Polish_Tourism_Organ	v1	4354	14/11709	.11
ELRC-956-Central_Statistical	v1	2649	14/11709	.11
UN	v20090831	56434	14/11709	.11
ELRA-W0195	v1	14185	13/11709	.11
ELRA-W0202	v1	64241	13/11709	.11
ELRA-W0211	v1	11228	13/11709	.11
ELRC-1174-EUIPO_2017	v1	17211	13/11709	.11
